src_geneid,trg_geneid
7507,29935
658,22800
2967,2968
10673,608
9128,3187
6142,6218
5435,5436
11200,993
10181,5438
3172,7728
1386,4089
3973,821
4155,8569
8493,6634
1947,2049
4904,57819
9501,4218
6860,6804
3320,196
5706,10197
10946,10291
4088,4609
1026,890
6428,6633
4175,55388
4686,6625
5440,11128
5688,8013
5485,5488
27125,219541
1814,2035
9343,27316
545,11200
5925,55814
5430,24148
10010,7185
5032,27334
2079,9094
1385,1773
4093,5859
4703,81
6135,6159
998,5921
11078,57120
1179,9629
6175,23481
3172,84269
4036,8029
7165,115825
3178,3183
2588,5476
2068,10999
3009,7210
2335,10528
6137,6173
1019,902
55758,10919
10018,596
7569,347344
921,962
6565,6879
6134,9349
8568,26354
6878,6908
598,5664
5595,27330
7337,5687
4052,7040
1476,1509
5432,56949
999,5663
1311,51162
5689,5706
4656,801
6206,8663
6637,3185
4690,5921
6147,6171
3172,51282
6513,2597
5438,8732
1499,2516
57132,27183
328,6996
8493,6632
190,6662
5431,902
6231,6189
3273,5328
4804,857
6387,4313
1030,60492
944,958
7201,408
5914,6667
5430,10949
4441,4467
1053,1649
3172,8504
3267,8225
6122,6157
10569,53938
2139,11052
3172,4259
2822,337
23020,10421
836,5604
27161,55802
10440,9001
2889,10818
51582,57038
5562,91408
6342,10449
6229,116832
6927,10886
64240,64241
4149,83463
1994,3842
5691,5695
3172,83732
373,26150
7410,5618
26994,6233
5685,5718
5432,23521
3736,3741
4860,83988
9521,5859
11019,93058
5701,5683
22796,91949
51631,5764
6156,6175
3572,6772
5859,26994
2070,4301
10992,23451
55388,653121
5660,10544
3183,3192
6927,4501
752,55660
9092,25980
5867,10307
2564,3206
3172,7388
2099,2308
1964,6141
84676,4633
4067,139716
1387,4303
9343,8175
1080,3301
9128,6431
4800,10513
51199,2932
2074,2967
705,9277
90,57111
3303,23640
6136,6147
3866,6602
8894,27335
6187,6173
6927,11148
2029,6833
6157,6208
9416,6626
7230,7232
10673,115650
6204,6209
6256,8856
3480,3479
971,3565
9616,8451
9378,84958
10694,6950
925,3956
8473,25942
355,931
3178,51362
5874,79083
2962,6634
800,808
1493,3717
118,3398
10181,51585
6595,5245
3621,57120
5711,5713
3718,8660
2886,5979
10672,2776
54464,23517
9295,222967
5431,6123
1315,26958
